company name,gvkey,NAICS,SIC,ticker,industry sector,weburl,ff5 sector
D R HORTON INC,25340,236117,1531,DHI,Cnstr,drhorton.com,5
NANTKWEST INC,25348,325414,2836,NK,Drugs,africansafariwildlifepark.com,4
GLOBAL BLOOD THERAPEUTICS,25349,325414,2836,GBT,Drugs,gbt.com,4
EXPRESS SCRIPTS HOLDING CO,25356,446110,5912,ESRX,Rtail,express-scripts.com,1
FINISH LINE INC  -CL A,25357,448210,5661,FINL,Rtail,finishline.com,1
COLUMBIA BANKING SYSTEM INC,25376,522110,6020,COLB,Banks,columbiabank.com,5
NEOS THERAPEUTICS INC,25377,325412,2834,NEOS,Drugs,neostx.com,4
GRAPHIC PACKAGING HOLDING CO,25389,322212,2650,GPK,Boxes,graphicpkg.com,2
GENERAL CABLE CORP/DE,25405,331420,3350,BGC,Steel,generalcable.com,2
HOSTESS BRANDS INC,25424,424420,5140,TWNK,Whlsl,hostessbrands.com,1
FUELCELL ENERGY INC,25430,335999,3690,FCEL,ElcEq,fuelcellenergy.com,3
STARBUCKS CORP,25434,722513,5812,SBUX,Meals,starbucks.com,1
STRATUS PROPERTIES INC,25462,237210,6552,STRS,RlEst,stratusproperties.com,5
NATIONAL BANKSHARES INC VA,25481,522110,6020,NKSH,Banks,nationalbankshares.com,5
DYNEGY INC,25495,221112,1311,DYN,Oil,dynegy.com,2
SUPERIOR ENERGY SERVICES INC,25509,213112,1389,SPN,Oil,superiorenergy.com,2
CENTRAL GARDEN & PET CO,25536,424490,5140,CENTA,Whlsl,central.com,1
CPI CARD GROUP INC,25539,334413,3674,PMTS,Chips,cpicardgroup.com,3
ENCORE WIRE CORP,25572,331420,3357,WIRE,Steel,encorewire.com,2
CARE CAPITAL PPTYS INC,25600,531120,6798,CCP,Fin,carecapitalproperties.com,5
KENNEDY-WILSON HOLDINGS INC,25632,5311,6510,KW,RlEst,kennedywilson.com,5
OMEGA HEALTHCARE INVS INC,25633,531190,6798,OHI,Fin,omegahealthcare.com,5
BOULEVARD ACQUISITION CP II,25654,999990,9995,BLVD,Other,perfectturfga.com,5
LTC PROPERTIES INC,25665,531190,6798,LTC,Fin,ltcreit.com,5
PERCEPTRON INC,25676,333314,3827,PRCP,LabEq,perceptron.com,3
LAYNE CHRISTENSEN CO,25680,541620,8711,LAYN,BusSv,layne.com,5
EQUUS TOTAL RETURN INC,25709,523910,6797,EQS,,equuscap.com,5
ESCALON MEDICAL CORP,25711,334510,3845,ESMC,MedEq,escalonmed.com,4
CPI AEROSTRUCTURES INC,25726,336413,3728,CVU,Aero,cpiaero.com,2
CRYSTAL ROCK HOLDINGS INC,25731,312112,2086,CRVP,Soda,crystalrock.com,1
CHEESECAKE FACTORY INC,25737,722511,5812,CAKE,Meals,thecheesecakefactory.com,1
LITTELFUSE INC,25747,335313,3613,LFUS,ElcEq,littelfuse.com,2
ON ASSIGNMENT INC,25749,561320,7363,ASGN,BusSv,asgn.com,5
PURE STORAGE INC,25756,334112,3572,PSTG,Comps,purestorage.com,3
PACE HOLDINGS CORP,25770,999990,9995,PACE,Other,kmart.com,5
ELECTRONICS FOR IMAGING INC,25774,334210,3576,EFII,Comps,efi.com,3
KEMET CORP,25848,334416,3670,KEM,Chips,kemet.com,3
CONSUMER PORTFOLIO SVCS INC,25852,522220,6159,CPSS,Banks,consumerportfolio.com,5
MINERALS TECHNOLOGIES INC,25870,325180,2810,MTX,Chems,mineralstech.com,2
PETROQUEST ENERGY INC,25874,211111,1311,PQ,Oil,petroquest.com,2
PATTERSON COMPANIES INC,25880,423450,5047,PDCO,Whlsl,pattersoncompanies.com,1
SITEONE LANDSCAPE SUPPLY INC,25893,423820,5080,SITE,Whlsl,siteone.com,1
RADIAN GROUP INC,25895,524126,6351,RDN,Insur,radian.biz,5
SURGERY PARTNERS INC,25898,621999,8090,SGRY,Hlth,surgerypartners.com,4
QUMU CORP,25915,519130,7370,QUMU,BusSv,qumu.com,3
KADANT INC,25922,333243,3550,KAI,Mach,kadant.com,2
NAVIDEA BIOPHARMACEUTICALS,25924,325413,2835,NAVB,Drugs,navidea.com,4
GULF RESOURCES INC,25935,325180,2810,GURE,Chems,gulfresourcesinc.com,2
LIGAND PHARMACEUTICAL INC,25937,325412,2834,LGND,Drugs,ligand.com,4
TAUBMAN CENTERS INC,25950,531120,6798,TCO,Fin,taubman.com,5
CHART INDUSTRIES INC,25964,332410,3443,GTLS,FabPr,chartindustries.com,2
MRV COMMUNICATIONS INC,25978,334210,3661,MRVC,Chips,mrv.com,3
PERMA-FIX ENVIRONMENTAL SVCS,25979,562211,4955,PESI,Other,perma-fix.com,5
CATALYST BIOSCIENCES INC,25999,325414,2836,CBIO,Drugs,catalystbiosciences.com,4
BLACK BOX CORP,26012,541519,7370,BBOX,BusSv,blackbox.com,3
SM ENERGY CO,26013,211111,1311,SM,Oil,sm-energy.com,2
UNIVERSAL INSURANCE HLDGS,26016,524126,6331,UVE,Insur,universalinsuranceholdings.com,5
SEACOR HOLDINGS INC,26021,483111,4412,CKH,Trans,seacorholdings.com,5
HMS HOLDINGS CORP,26037,524292,6411,HMSY,Insur,hms.com,5
ULTRALIFE CORP,26045,335912,3690,ULBI,ElcEq,ultralifecorporation.com,3
IAC/INTERACTIVECORP,26061,519130,7370,IAC,BusSv,iac.com,3
GULFPORT ENERGY CORP,26069,211111,1311,GPOR,Oil,gulfportenergy.com,2
KURA ONCOLOGY INC,26081,325414,2836,KURA,Drugs,kuraoncology.com,4
MIRNA THERAPEUTICS INC,26094,325414,2836,MIRN,Drugs,mirnatherapeutics.com,4
CYTOMX THERAPEUTICS INC,26112,325414,2836,CTMX,Drugs,cytomx.com,4
NOVOCURE LTD,26123,334510,3845,NVCR,MedEq,novocure.com,4
AMERICAN RENAL ASSOCS HLDGS,26126,621492,8090,ARA,Hlth,americanrenal.com,4
CAPITOL ACQUISITION CORP III,26128,999990,9995,CLAC,Other,capitolacquisition.com,5
REGENXBIO INC,26146,325414,2836,RGNX,Drugs,regenxbio.com,4
PENUMBRA INC,26147,339112,3841,PEN,MedEq,penumbrainc.com,4
CERECOR INC,26149,325412,2834,CERC,Drugs,cerecor.com,4
QUORUM HEALTH CORP,26157,622110,8062,QHC,Hlth,quorumhealth.com,4
SMARTFINANCIAL INC,26179,522110,6020,SMBK,Banks,blankenship-enterprises.com,5
ADESTO TECHNOLOGIES CORP,26187,334413,3674,IOTS,Chips,adestotech.com,3
DIMENSION THERAPEUTICS INC,26197,325414,2836,DMTX,Drugs,dimensiontx.com,4
LAZYDAYS HOLDINGS INC,26218,999990,9995,LAZY,Other,lazydays.com,5
MYOKARDIA INC,26269,325414,2836,MYOK,Drugs,myokardia.com,4
AQUAVENTURE HOLDINGS LTD,26272,221310,4941,WAAS,Util,hrbutler.com,2
EDGE THERAPEUTICS INC,26273,325414,2836,EDGE,Drugs,edgetherapeutics.com,4
CSRA INC,26304,54151,7370,CSRA,BusSv,csra.com,3
INSTRUCTURE INC,26321,519130,7370,INST,BusSv,instructure.com,3
DULUTH HOLDINGS INC,26335,454111,5961,DLTH,Rtail,duluthtrading.com,1
WAVE LIFE SCIENCES LTD,26340,325414,2836,WVE,Drugs,wavelifesciences.com,4
VOYAGER THERAPEUTICS INC,26341,325414,2836,VYGR,Drugs,voyagertherapeutics.com,4
ARMSTRONG FLOORING INC,26343,326199,3089,AFI,Rubbr,armstrongflooring.com,2
EQUITY BANCSHARES INC,26347,522110,6020,EQBK,Banks,equitybank.com,5
AXSOME THERAPEUTICS INC,26349,325414,2836,AXSM,Drugs,axsome.com,4
NORTHSTAR REALTY EUROPE CORP,26351,531120,6798,NRE,Fin,nrecorp.com,5
SQUARE INC,26367,518210,7374,SQ,BusSv,squareup.com,3
BEIGENE LTD  -ADR,26376,325414,2836,BGNE,Drugs,beigene.com,4
MATCH GROUP INC,26381,519130,7370,MTCH,BusSv,mtch.com,3
NUVECTRA CORP,26382,334510,3845,NVTR,MedEq,nuvectramed.com,4
FOUR CORNERS PROPERTY TR INC,26410,531120,6798,FCPT,Fin,jimcox.com,5
ASSOCIATED CAPITAL GROUP INC,26413,523,6200,AC,Fin,associated-capital-group.com,5
WELBILT INC,26495,333318,3580,WBT,Mach,welbilt.com,2
MONSTER DIGITAL INC -OLD,26514,334112,3572,MSDI.2,Comps,hinesindustries.com,3
RMR GROUP INC,26545,561110,8741,RMR,BusSv,rmrgroup.com,5
JENSYN ACQUISITION CORP,26562,999990,9995,JSYN,Other,jensyn.com,5
FORTIVE CORP,26590,334519,3829,FTV,LabEq,peopleserveinc.com,3
SENSEONICS HLDGS INC,26636,334510,3845,SENS,MedEq,senseonics.com,4
AVANGRID INC,26658,2211,4911,AGR,Util,avangrid.com,2
ONCOCYTE CORP,26669,325414,2836,OCX,Drugs,oncocyte.com,4
ACACIA COMMUNICATIONS INC,26722,334220,3663,ACIA,Chips,acacia-inc.com,3
HERC HOLDINGS INC,26749,532412,7350,HRI,BusSv,fedpubseminars.com,5
PROTEOSTASIS THERAPEUTICS,26755,325414,2836,PTI,Drugs,proteostasis.com,4
TABULA RASA HEALTHCARE INC,26788,519130,7370,TRHC,BusSv,housecallshomehealth.com,3
SPRING BANK PHARMACEUTICALS,26790,325414,2836,SBPH,Drugs,springbankpharm.com,4
CLEARSIDE BIOMEDICAL INC,26798,325412,2834,CLSD,Drugs,dca401k.com,4
DIFFUSION PHARMACEUTICALS,26809,325414,2836,DFFN,Drugs,nutleynj.net,4
GCP APPLIED TECHNOLOGIES INC,26812,325194,2860,GCP,Chems,gcpat.com,2
ONCOBIOLOGICS INC,26817,325414,2836,ONS,Drugs,shelterblue.com,4
AVEXIS INC,26818,325414,2836,AVXS,Drugs,avexis.com,4
TACTILE SYSTEMS TECHNOLOGY,26847,334510,3845,TCMD,MedEq,rebsco.com,4
MOLECULIN BIOTECH INC,26873,325414,2836,MBRX,Drugs,westwoodsanitation.com,4
EDITAS MEDICINE INC,26874,325414,2836,EDIT,Drugs,editasmedicine.com,4
REATA PHARMACEUTICALS INC,26892,325414,2836,RETA,Drugs,reatapharma.com,4
CORVUS PHARMACEUTICALS INC,26895,325414,2836,CRVS,Drugs,corvuspharma.com,4
MGM GROWTH PROPERTIES LLC,27045,531120,6798,MGP,Fin,mgmgrowthproperties.com,5
EIGER BIOPHARMACEUTICALS INC,27046,325414,2836,EIGR,Drugs,eigerbio.com,4
INGEVITY CORP,27119,3251,2860,NGVT,Chems,ingevity.com,2
ADVANCEPIERRE FOODS HOLDINGS,27148,311,2000,APFH,Food,seckmanprinting.com,1
INTELLIA THERAPEUTICS INC,27155,325414,2836,NTLA,Drugs,intelliatx.com,4
PHASERX INC,27198,325414,2836,PZRXQ,Drugs,seamagine.com,4
VAALCO ENERGY INC,27199,211111,1311,EGY,Oil,vaalco.com,2
GEMPHIRE THERAPEUTICS INC,27201,325414,2836,GEMP,Drugs,churchilllawoffice.com,4
COTIVITI HOLDINGS INC,27245,561499,7389,COTV,BusSv,cotiviti.com,5
PULSE BIOSCIENCES INC,27252,334510,3845,PLSE,MedEq,pulsebiosciences.com,4
NANTHEALTH INC,27274,541512,7373,NH,Comps,ministorit.com,3
APTEVO THERAPEUTICS INC,27338,325414,2836,APVO,Drugs,roberts-law.com,4
SELECTA BIOSCIENCES INC,27354,325414,2836,SELB,Drugs,multipro.com,4
TWILIO INC,27364,519130,7370,TWLO,BusSv,diversifiedenergysupply.com,3
SYROS PHARMACEUTICALS INC,27392,325414,2836,SYRS,Drugs,slimdoggy.com,4
KADMON HOLDINGS INC,27476,325414,2836,KDMN,Drugs,ltionline.com,4
TPI COMPOSITES INC,27574,333611,3510,TPIC,Mach,allprochamps.com,2
HARBORONE BANCORP INC,27604,522110,6020,HONE,Banks,kitchentablebakers.com,5
ALCOA CORP,27638,3313,3330,AA,Steel,inside-media.com,2
RANDOLPH BANCORP INC,27645,522120,6036,RNDB,Banks,finalinspection-fireandsafety.com,5
KINSALE CAPITAL GROUP INC,27652,524126,6331,KNSL,Insur,magna-power.com,5
AUDENTES THERAPEUTICS INC,27669,325414,2836,BOLD,Drugs,vistacoatings.com,4
PROTAGONIST THERAPEUTICS INC,27670,325414,2836,PTGX,Drugs,paramedicsunlimited.com,4
AZURRX BIOPHARMA INC,27699,325414,2836,AZRX,Drugs,metalpunch.com,4
AIRGAIN INC,27703,334220,3663,AIRG,Chips,greenbullproducts.com,3
MADRIGAL PHARMACEUTICALS INC,27716,325412,2834,MDGL,Drugs,madrigalpharma.com,4
ATOMERA INC,27737,334413,3674,ATOM,Chips,lcolesmith.com,3
CARDCONNECT CORP,27738,518210,7374,CCN,BusSv,cardconnect.com,3
NAUTILUS INC,27760,339920,3949,NLS,Toys,nautilusinc.com,1
ROCKY BRANDS INC,27776,316210,3140,RCKY,Clths,rockybrands.com,1
DDR CORP,27780,531120,6798,DDR,Fin,ddr.com,5
CHESAPEAKE ENERGY CORP,27786,211111,1311,CHK,Oil,chk.com,2
SAGA COMMUNICATIONS  -CL A,27790,515112,4832,SGA,Telcm,sagacom.com,3
CREE INC,27794,334413,3674,CREE,Chips,cree.com,3
LSC COMMUNICATIONS INC,27802,323111,2750,LKSD,BusSv,texasenergyenterprises.com,2
LIVANOVA PLC,27810,334510,3845,LIVN,MedEq,livanova.com,4
CRYOLIFE INC,27823,339113,3842,CRY,MedEq,cryolife.com,4
UNIVERSAL ELECTRONICS INC,27828,334310,3651,UEIC,Toys,uei.com,1
ALLERGAN PLC,27845,325412,2834,AGN,Drugs,allergan.com,4
TRADE DESK INC,27885,519130,7370,TTD,BusSv,tnpride.com,3
UNITED BANCORP INC/OH,27886,522110,6020,UBCP,Banks,unitedbancorp.com,5
NOVAN INC,27905,325412,2834,NOVN,Drugs,lei-eng.com,4
RELIV INTERNATIONAL INC,27906,325412,2834,RELV,Drugs,reliv.com,4
E.L.F. BEAUTY INC,27907,325620,2844,ELF,Hshld,infinitigolf.com,2
SUPERCONDUCTOR TECHNOLOGIES,27913,334419,3670,SCON,Chips,suptech.com,3
HUMANA INC,27914,621491,6324,HUM,Insur,humana.com,5
VICAL INC,27920,325414,2836,VICL,Drugs,vical.com,4
AVID TECHNOLOGY INC,27925,333316,3861,AVID,Hshld,avid.com,2
INTUIT INC,27928,511210,7372,INTU,BusSv,intuit.com,3
HALLMARK FINANCIAL SERVICES,27932,524126,6331,HALL,Insur,hallmarkgrp.com,5
DESTINATION MATERNITY CORP,27936,448120,5621,DEST,Rtail,destinationmaternitycorp.com,1
SHOE CARNIVAL INC,27938,448210,5661,SCVL,Rtail,shoecarnival.com,1
TENAX THERAPEUTICS INC,27939,325414,2836,TENX,Drugs,tenaxthera.com,4
CAPSTAR FINANCIAL HLDGS INC,27945,522110,6020,CSTR,Banks,tempo.com,5
ALAMO GROUP INC,27960,333111,3523,ALG,Mach,alamo-group.com,2
MICROCHIP TECHNOLOGY INC,27965,334413,3674,MCHP,Chips,microchip.com,3
CHICOS FAS INC,27981,448120,5621,CHS,Rtail,chicosfas.com,1
AETHLON MEDICAL INC,27983,339112,3841,AEMD,MedEq,aethlonmedical.com,4
REPROS THERAPEUTICS INC,27988,325412,2834,RPRX,Drugs,reprosrx.com,4
AMARIN CORP,28027,325412,2834,AMRN,Drugs,amarincorp.com,4
CHUBB LTD,28034,524126,6331,CB,Insur,chubb.com,5
ADVANSIX INC,28070,325220,2820,ASIX,Chems,bramacint.com,2
DASAN ZHONE SOLUTIONS INC,28071,334210,3661,DZSI,Chips,knockrentals.com,3
OBALON THERAPEUTICS INC,28086,339112,3841,OBLN,MedEq,redstoneasia.com,4
POLAR POWER INC,28091,335312,3621,POLA,ElcEq,centralohioeyecare.com,2
CRISPR THERAPEUTICS AG,28113,325414,2836,CRSP,Drugs,boomtownfurniture.com,4
FOSSIL GROUP INC,28118,334519,3873,FOSL,Hshld,fossilgroup.com,2
GGP INC,28119,531120,6798,GGP,Fin,ggp.com,5
SANMINA CORP,28139,334412,3672,SANM,Chips,sanmina.com,3
MIDSOUTH BANCORP INC,28152,522110,6020,MSL,Banks,midsouthbank.com,5
TRICO BANCSHARES,28155,522110,6020,TCBK,Banks,tcbk.com,5
APTARGROUP INC,28176,326199,3089,ATR,Rubbr,aptar.com,2
O'REILLY AUTOMOTIVE INC,28180,441310,5531,ORLY,Rtail,oreillyauto.com,1
ROYAL CARIBBEAN CRUISES LTD,28191,483112,4400,RCL,Trans,rclcorporate.com,5
ARCONIC INC,28192,336413,3728,ARNC,Aero,arconic.com,2
POLYONE CORP,28194,325211,2821,POL,Chems,polyone.com,2
JABIL INC,28195,334412,3672,JBL,Chips,jabil.com,3
ANIKA THERAPEUTICS INC,28209,325414,2836,ANIK,Drugs,anikatherapeutics.com,4
REINSURANCE GROUP AMER INC,28216,524130,6311,RGA,Insur,rgare.com,5
GERMAN AMERICAN BANCORP INC,28278,522110,6020,GABC,Banks,germanamerican.com,5
TITAN INTERNATIONAL INC,28295,333111,3523,TWI,Mach,titan-intl.com,2
CLAYTON WILLIAMS ENERGY INC,28296,211111,1311,CWEI,Oil,claytonwilliams.com,2
ELLIS PERRY INTL INC,28303,315220,2320,PERY,Clths,pery.com,1
CDW CORP,28320,423430,5045,CDW,Whlsl,cdw.com,1
HEALTHCARE REALTY TRUST INC,28322,531190,6798,HR,Fin,healthcarerealty.com,5
ACADIA REALTY TRUST,28323,531120,6798,AKR,Fin,acadiarealty.com,5
TRANSOCEAN LTD,28338,213111,1381,RIG,Oil,deepwater.com,2
TANGER FACTORY OUTLET CTRS,28340,531120,6798,SKT,Fin,tangeroutlet.com,5
FLOTEK INDUSTRIES INC,28347,325520,2891,FTK,Chems,flotekind.com,2
ALLSTATE CORP,28349,524126,6331,ALL,Insur,allstate.com,5
SENESTECH INC,28365,325320,2870,SNES,Chems,bagir.com,2
INTERLINK ELECTRONICS,28374,334419,3679,LINK,Chips,interlinkelectronics.com,3
LIONS GATE ENTERTAINMENT CP,28378,512110,7812,LGF.A,Fun,lionsgate.com,5
ORTHOFIX INTERNATIONAL NV,28380,339112,3841,OFIX,MedEq,orthofix.com,4
PAPA JOHNS INTERNATIONAL INC,28397,722513,5812,PZZA,Meals,papajohns.com,1
GENTHERM INC,28408,336390,3714,THRM,Autos,gentherm.com,1
BARRETT BUSINESS SVCS INC,28410,561311,7363,BBSI,BusSv,barrettbusiness.com,5
BLACKLINE INC,28420,519130,7370,BL,BusSv,tennanttrucklines.com,3
LIBBEY INC,28462,327212,3220,LBY,Boxes,libbey.com,2
RA PHARMACEUTICALS INC,28470,325414,2836,RARX,Drugs,evansadvisoryservices.net,4
FLIR SYSTEMS INC,28477,334511,3812,FLIR,Chips,flir.com,3
WAYNE SAVINGS BANCSHARES INC,28490,522120,6036,WAYN,Banks,waynesavings.com,5
YUM CHINA HOLDINGS INC,28499,722511,5812,YUMC,Meals,juddservices.com,1
SHILOH INDUSTRIES INC,28518,336370,3460,SHLO,FabPr,shiloh.com,2
STONE ENERGY CORP,28564,211111,1311,SGY,Oil,stoneenergy.com,2
BRINKS CO,28590,561613,7381,BCO,BusSv,brinks.com,5
FIRST DEFIANCE FINANCIAL CP,28620,522120,6035,FDEF,Banks,fdef.com,5
CAMDEN PROPERTY TRUST,28629,531110,6798,CPT,Fin,camdenliving.com,5
KEY TECHNOLOGY INC,28641,333241,3550,KTEC,Mach,toadallysnax.com,2
TANDY LEATHER FACTORY INC,28675,453998,5990,TLF,Rtail,tandyleather.com,1
MONARCH CASINO & RESORT INC,28704,721120,7990,MCRI,Fun,monarchcasino.com,5
ATRM HOLDINGS INC,28712,236115,1520,ATRM,Cnstr,atrmholdings.com,5
INNODATA INC,28717,518210,7374,INOD,BusSv,innodata.com,3
EQUITY RESIDENTIAL,28733,531110,6798,EQR,Fin,equityapartments.com,5
BORGWARNER INC,28742,336310,3714,BWA,Autos,borgwarner.com,1
FULL HOUSE RESORTS INC,28749,713210,7990,FLL,Fun,fullhouseresorts.com,5
SPARTANNASH CO,28762,424410,5141,SPTN,Whlsl,spartannash.com,1
SAUL CENTERS INC,28769,531120,6798,BFS,Fin,saulcenters.com,5
WINMARK CORP,28785,533110,6794,WINA,Fin,winmarkcorporation.com,5
PERFORMANCE FOOD GROUP CO,28787,4244,5140,PFGC,Whlsl,pfgc.com,1
MATEON THERAPEUTICS INC,28795,325414,2836,MATN,Drugs,mateon.com,4
ARROWHEAD PHARMACEUTICALS,28806,325414,2836,ARWR,Drugs,arrowheadpharma.com,4
FUEL TECH INC,28819,333999,3569,FTEK,Mach,ftek.com,2
ARRIS INTERNATIONAL PLC,28853,334220,3663,ARRS,Chips,arris.com,3
META FINANCIAL GROUP INC,28866,522120,6035,CASH,Banks,metafinancialgroup.com,5
ONEOK PARTNERS -LP,28919,486210,4922,OKS,Util,oneokpartners.com,2
BARNES & NOBLE INC,28924,451211,5940,BKS,Rtail,barnesandnobleinc.com,1
MARRIOTT INTL INC,28930,721110,7011,MAR,Meals,marriott.com,5
ULTRATECH INC,28938,333242,3559,UTEK,Mach,ultratech.com,2
BELDEN INC,28940,33441,3670,BDC,Chips,belden.com,3
BOYD GAMING CORP,29011,721120,7990,BYD,Fun,boydgaming.com,5
DECKERS OUTDOOR CORP,29015,316998,3100,DECK,Clths,deckers.com,1
ALBIREO PHARMA INC,29018,325414,2836,ALBO,Drugs,albireopharma.com,4
LEXINGTON REALTY TRUST,29052,531120,6798,LXP,Fin,lxp.com,5
RIVERVIEW BANCORP INC,29061,522120,6035,RVSB,Banks,riverviewbank.com,5
CBL & ASSOCIATES PPTYS INC,29082,531120,6798,CBL,Fin,cblproperties.com,5
PALATIN TECHNOLOGIES INC,29086,325414,2836,PTN,Drugs,palatin.com,4
REGENCY CENTERS CORP,29099,531120,6798,REG,Fin,regencycenters.com,5
FIRST FINL BANKSHARES INC,29101,522110,6020,FFIN,Banks,ffin.com,5
PATTERSON-UTI ENERGY INC,29108,213111,1381,PTEN,Oil,patenergy.com,2
INCYTE CORP,29127,325414,2836,INCY,Drugs,incyte.com,4
EMPIRE RESORTS INC,29129,713210,7990,NYNY,Fun,empireresorts.com,5
GIBRALTAR INDUSTRIES INC,29131,331221,3310,ROCK,Steel,gibraltar1.com,2
ITRON INC,29133,334514,3824,ITRI,LabEq,itron.com,3
URBAN OUTFITTERS INC,29150,448140,5651,URBN,Rtail,urbn.com,1
CENTURY CASINOS INC,29151,721120,7990,CNTY,Fun,cnty.com,5
UNIVERSAL FOREST PRODS INC,29156,321999,2421,UFPI,BldMt,ufpi.com,5
NEWFIELD EXPLORATION CO,29173,211111,1311,NFX,Oil,newfield.com,2
ICHOR HOLDINGS LTD,29191,333242,3559,ICHR,Mach,zapoint.com,2
FORWARD AIR CORP,29206,484110,4210,FWRD,Trans,forwardair.com,5
BOSTON PRIVATE FINL HOLDINGS,29211,522110,6020,BPFH,Banks,bostonprivate.com,5
SCHNITZER STEEL INDS  -CL A,29217,423930,5093,SCHN,Whlsl,schnitzersteel.com,1
VIAVI SOLUTIONS INC,29241,334210,3576,VIAV,Comps,viavisolutions.com,3
ASTORIA FINANCIAL CORP,29246,522120,6035,AF,Banks,astoriabank.com,5
NEW YORK CMNTY BANCORP INC,29282,522120,6036,NYCB,Banks,mynycb.com,5
MICROBOT MEDICAL INC,29293,334510,3845,MBOT,MedEq,microbotmedical.com,4
WVS FINANCIAL CORP,29300,522120,6036,WVFC,Banks,wvsbank.com,5
PARKERVISION INC,29332,334220,3663,PRKR,Chips,parkervision.com,3
SUN COMMUNITIES INC,29359,531110,6798,SUI,Fin,suncommunities.com,5
MADDEN STEVEN LTD,29382,316210,3140,SHOO,Clths,stevemadden.com,1
SIMON PROPERTY GROUP INC,29389,531120,6798,SPG,Fin,simon.com,5
EASTMAN CHEMICAL CO,29392,325211,2821,EMN,Chems,eastman.com,2
UFP TECHNOLOGIES INC,29449,326140,3086,UFPT,Rubbr,ufpt.com,2
HAIN CELESTIAL GROUP INC,29609,311,2000,HAIN,Food,hain.com,1
CELADON GROUP INC,29612,484121,4213,CGI,Trans,celadontrucking.com,5
CASCADE BANCORP,29613,522110,6020,CACB,Banks,botc.com,5
STEEL CONNECT INC,29621,518210,7374,STCN,BusSv,moduslink.com,3
MAD CATZ INTERACTIVE INC,29627,339930,3944,MCZAF,Toys,madcatz.com,1
MID-AMERICA APT CMNTYS INC,29649,531110,6798,MAA,Fin,maac.com,5
SIGMATRON INTERNATIONAL INC,29698,334412,3672,SGMA,Chips,sigmatronintl.com,3
DAKTRONICS INC,29705,339950,3990,DAKT,,daktronics.com,1
DSP GROUP INC,29722,334220,3663,DSPG,Chips,dspg.com,3
MARTIN MARIETTA MATERIALS,29733,212313,1400,MLM,Mines,martinmarietta.com,5
MOBILE MINI INC,29734,532490,7359,MINI,BusSv,mobilemini.com,5
TRACTOR SUPPLY CO,29736,453998,5200,TSCO,Rtail,tractorsupply.com,1
ALBEMARLE CORP,29751,325180,2810,ALB,Chems,albemarle.com,2
BEAZER HOMES USA INC,29755,236117,1531,BZH,Cnstr,beazer.com,5
AROTECH CORP,29762,333318,3690,ARTX,ElcEq,arotech.com,3
QLOGIC CORP,29791,334118,3570,QLGC,Comps,qlogic.com,3
INVESCO LTD,29804,523920,6282,IVZ,Fin,invesco.com,5
WESTROCK CO,29830,322211,2650,WRK,Boxes,westrock.com,2
BIOCRYST PHARMACEUTICALS INC,29837,325414,2836,BCRX,Drugs,biocryst.com,4
FARMERS NATL BANC CORP/OH,29855,522110,6020,FMNB,Banks,farmersbankgroup.com,5
MACERICH CO,29868,531120,6798,MAC,Fin,macerich.com,5
OLYMPIC STEEL INC,29870,423510,5051,ZEUS,Whlsl,olysteel.com,1
AVALONBAY COMMUNITIES INC,29875,531110,6798,AVB,Fin,avalonbay.com,5
NN INC,29894,332991,3562,NNBR,Mach,nninc.com,2
COPART INC,29901,425120,5010,CPRT,Whlsl,copart.com,1
SCANSOURCE INC,29910,423430,5045,SCSC,Whlsl,scansource.com,1
REVOLUTION LIGHTING TECHNLGS,29921,335122,3640,RVLT,ElcEq,rvlti.com,1
MOTORCAR PARTS OF AMER INC,29930,336320,3690,MPAA,ElcEq,motorcarparts.com,3
LANDMARK BANCORP INC/KS,29946,522110,6020,LARK,Banks,banklandmark.com,5
VALEANT PHARMACEUTICALS INTL,29955,325412,2834,VRX,Drugs,valeant.com,4
LIMONEIRA CO,29962,111320,100,LMNR,Agric,limoneira.com,1
GAMING PARTNERS INTL CORP,29964,339999,3990,GPIC,,gpigaming.com,1
AK STEEL HOLDING CORP,29968,331110,3312,AKS,Steel,aksteel.com,2
PROLOGIS INC,29984,531120,6798,PLD,Fin,prologis.com,5
FIRST MID ILL BANCSHARES INC,29994,522110,6020,FMBH,Banks,firstmid.com,5
VIVUS INC,30007,325412,2834,VVUS,Drugs,vivus.com,4
NUMEREX CORP  -CL A,30029,519130,7370,NMRX,BusSv,numerex.com,3
EAGLE MATERIALS INC,30032,327420,3270,EXP,BldMt,eaglematerials.com,2
SOUTHERN MISSOURI BANCP INC,30055,522120,6036,SMBC,Banks,bankwithsouthern.com,5
AMERN EAGLE OUTFITTERS INC,30059,4481,5600,AEO,Rtail,ae.com,1
AGREE REALTY CORP,30067,531120,6798,ADC,Fin,agreerealty.com,5
DNB FINANCIAL CORP,30082,522110,6020,DNBF,Banks,dnbfirst.com,5
NEKTAR THERAPEUTICS,30137,325412,2834,NKTR,Drugs,nektar.com,4
INVESTMENT TECHNOLOGY GP INC,30146,523120,6211,ITG,Fin,itg.com,5
FLEX LTD,30170,334412,3672,FLEX,Chips,flex.com,3
DIVERSICARE HEALTHCARE SVCS,30175,623110,8051,DVCR,Hlth,dvcr.com,4
SYPRIS SOLUTIONS INC,30220,336350,3714,SYPR,Autos,sypris.com,1
