company name,gvkey,NAICS,SIC,ticker,industry sector,weburl,ff5 sector
EATON CORP PLC,4199,335314,3620,ETN,ElcEq,eaton.com,2
EATON VANCE CORP,4201,523930,6282,EV,Fin,eatonvance.com,5
ECOLAB INC,4213,325612,2842,ECL,Hshld,ecolab.com,2
EDUCATIONAL DEVELOPMENT CORP,4225,424920,5190,EDUC,Whlsl,edcpub.com,1
EL PASO ELECTRIC CO,4241,22111,4911,EE,Util,epelectric.com,2
ELECTRO RENT CORP,4273,532210,7359,ELRC,BusSv,electrorent.com,5
ELECTRO SCIENTIFIC INDS INC,4274,335999,3690,ESIO,ElcEq,esi.com,3
ELECTRO-SENSORS INC,4275,334513,3823,ELSE,LabEq,electro-sensors.com,3
EMERSON ELECTRIC CO,4321,334513,3823,EMR,LabEq,emerson.com,3
EMERSON RADIO CORP,4322,334310,3651,MSN,Toys,emersonradio.com,1
ENERGEN CORP,4351,211111,4924,EGN,Util,energen.com,2
WEATHERFORD INTL PLC,4367,213111,1381,WFT,Oil,weatherford.com,2
ATMOS ENERGY CORP,4383,221210,4924,ATO,Util,atmosenergy.com,2
MARATHON PATENT GROUP INC,4384,533110,6794,MARA,Fin,marathonpg.com,5
ENNIS INC,4390,323111,2761,EBF,Paper,ennis.com,2
ENZON PHARMACEUTICALS INC,4409,325414,2836,ENZN,Drugs,enzon.com,4
ENZO BIOCHEM INC,4418,621511,8071,ENZ,Hlth,enzo.com,4
EQUIFAX INC,4423,561450,7323,EFX,BusSv,equifax.com,5
EQT CORP,4430,221210,4923,EQT,Util,eqt.com,2
ESCALADE INC,4448,339920,3949,ESCA,Toys,escaladeinc.com,1
ESPEY MFG & ELECTRONICS CORP,4450,334419,3679,ESP,Chips,espey.com,3
ESTERLINE TECHNOLOGIES CORP,4460,334511,3812,ESL,Chips,esterline.com,3
NEWMARKET CORP,4462,325180,2860,NEU,Chems,newmarket.com,2
EXAR CORP,4476,334413,3674,EXAR,Chips,exar.com,3
KINGSTONE COS INC,4485,524126,6331,KINS,Insur,kingstonecompanies.com,5
EXPEDITORS INTL WASH INC,4494,488510,4731,EXPD,Trans,expeditors.com,5
DMC GLOBAL INC,4497,332813,3390,BOOM,Steel,dmcglobal.com,2
INSTEEL INDUSTRIES,4498,332618,3310,IIIN,Steel,insteel.com,2
EXXON MOBIL CORP,4503,324110,2911,XOM,Oil,exxonmobil.com,2
FMC CORP,4510,325320,2870,FMC,Chems,fmc.com,2
NEXTERA ENERGY INC,4517,22111,4911,NEE,Util,nexteraenergy.com,2
FARMER BROS CO,4579,311920,2090,FARM,Food,farmerbros.com,1
FEDEX CORP,4598,492110,4513,FDX,Trans,fedex.com,5
FEDERAL-MOGUL HOLDINGS CORP,4600,336310,3714,FDML,Autos,federalmogul.com,1
FEDERAL REALTY INVESTMENT TR,4605,531120,6798,FRT,Fin,federalrealty.com,5
FEDERAL SIGNAL CORP,4608,336120,3711,FSS,Autos,federalsignal.com,1
MACY'S INC,4611,452111,5311,M,Rtail,macysinc.com,1
CALADRIUS BIOSCIENCES INC,4632,325414,2836,CLBS,Drugs,caladrius.com,4
FIFTH THIRD BANCORP,4640,522110,6020,FITB,Banks,53.com,5
REGIONS FINANCIAL CORP,4674,522110,6020,RF,Banks,regions.com,5
TRUSTMARK CORP,4685,522110,6020,TRMK,Banks,trustmark.com,5
FIRST CITIZENS BANCSH  -CL A,4690,522110,6020,FCNCA,Banks,firstcitizens.com,5
M & T BANK CORP,4699,522110,6020,MTB,Banks,mtb.com,5
U S BANCORP,4723,522110,6020,USB,Banks,usbank.com,5
FIRST HORIZON NATIONAL CORP,4737,522110,6020,FHN,Banks,firsthorizon.com,5
FLANIGANS ENTERPRISES INC,4759,722511,5812,BDL,Meals,flanigans.net,1
FLEXSTEEL INDUSTRIES INC,4771,337121,2510,FLXS,Hshld,flexsteel.com,1
FLOWERS FOODS INC,4809,311812,2050,FLO,Food,flowersfoods.com,1
FLUOR CORP,4818,237990,1600,FLR,Cnstr,fluor.com,5
FONAR CORP,4826,621512,8071,FONR,Hlth,fonar.com,4
FORD MOTOR CO,4839,33611,3711,F,Autos,ford.com,1
FOREST CITY REALTY TRUST INC,4842,531120,6798,FCE.A,Fin,forestcity.net,5
FOSTER (LB) CO,4860,423510,5051,FSTR,Whlsl,lbfoster.com,1
FRANKLIN ELECTRIC CO INC,4881,335312,3621,FELE,ElcEq,franklin-electric.com,2
FRANKLIN RESOURCES INC,4885,523920,6282,BEN,Fin,franklinresources.com,5
FREQUENCY ELECTRONICS INC,4900,334515,3825,FEIM,LabEq,freqelec.com,3
FRIEDMAN INDUSTRIES INC,4903,331210,3317,FRD,Steel,friedmanindustries.com,2
FULLER (H. B.) CO,4926,325520,2891,FUL,Chems,hbfuller.com,2
G&K SERVICES INC  -CL A,4936,812331,7200,GK,PerSv,gkservices.com,1
GATX CORP,4941,532411,4700,GATX,Trans,gatx.com,5
ARTHUR J GALLAGHER & CO,4973,524210,6411,AJG,Insur,ajg.com,5
TEGNA INC,4988,515120,4833,TGNA,Telcm,tegna.com,3
GAP INC,4990,448140,5651,GPS,Rtail,gapinc.com,1
AEROJET ROCKETDYNE HOLDINGS,5018,336415,3760,AJRD,Guns,aerojetrocketdyne.com,2
GENERAL DYNAMICS CORP,5046,336411,3721,GD,Aero,gd.com,2
GEE GROUP INC,5050,561311,7361,JOB,BusSv,generalemployment.com,5
GENERAL MILLS INC,5071,311230,2040,GIS,Food,generalmills.com,1
ALLY FINANCIAL INC,5072,522220,6172,ALLY,Banks,ally.com,5
GENERAL MOTORS CO,5073,33611,3711,GM,Autos,gm.com,1
SPX CORP,5087,333415,3585,SPXC,Mach,spx.com,2
GENTEX CORP,5116,336390,3714,GNTX,Autos,gentex.com,1
GENUINE PARTS CO,5125,423120,5013,GPC,Whlsl,genpt.com,1
GETTY REALTY CORP,5149,531120,6798,GTY,Fin,gettyrealty.com,5
GIGA-TRONICS INC,5165,334515,3825,GIGA,LabEq,gigatronics.com,3
GLATFELTER,5179,322121,2621,GLT,Paper,glatfelter.com,2
GOLDEN ENTERPRISES,5210,311919,2090,GLDC,Food,goldenflake.com,1
GOLDFIELD CORP,5218,237130,1623,GV,Cnstr,goldfieldcorp.com,5
GOODYEAR TIRE & RUBBER CO,5234,326211,3011,GT,Autos,goodyear.com,2
GORMAN-RUPP CO,5237,333911,3561,GRC,Mach,gormanrupp.com,2
GRACE (W R) & CO,5250,325998,2810,GRA,Chems,grace.com,2
GRACO INC,5252,333911,3561,GGG,Mach,graco.com,2
GRAHAM CORP,5254,333415,3443,GHM,FabPr,graham-mfg.com,2
GRAINGER (W W) INC,5256,42,5000,GWW,Whlsl,grainger.com,1
GRAY TELEVISION INC,5284,515120,4833,GTN,Telcm,bayviewenvironmental.com,3
GREIF INC  -CL A,5338,322219,2650,GEF,Boxes,greif.com,2
MONEYGRAM INTERNATIONAL INC,5342,522320,6099,MGI,Banks,moneygram.com,5
GULFMARK OFFSHORE INC,5379,483111,4412,GLF,Trans,gulfmark.com,5
GYRODYNE LLC,5395,531120,6512,GYRO,RlEst,gyrodyne.com,5
HMG COURTLAND PROPERTIES,5408,531120,6798,HMG,Fin,hmgcourtland.com,5
HALLIBURTON CO,5439,213112,1389,HAL,Oil,halliburton.com,2
HARRIS CORP,5492,334511,3812,HRS,Chips,harris.com,3
HARSCO CORP,5496,331110,3390,HSC,Steel,harsco.com,2
HASBRO INC,5518,339930,3944,HAS,Toys,hasbro.com,1
ALLIED MOTION TECHNOLOGIES,5520,335312,3621,AMOT,ElcEq,alliedmotion.com,2
HAVERTY FURNITURE,5523,442110,5712,HVT,Rtail,havertys.com,1
HAWAIIAN ELECTRIC INDS,5526,22111,4911,HE,Util,hei.com,2
HAWKINS INC,5530,424690,5160,HWKN,Whlsl,hawkinsinc.com,1
WELLTOWER INC,5543,531110,6798,WELL,Fin,welltower.com,5
STERLING CONSTRUCTION CO INC,5559,237310,1600,STRL,Cnstr,strlco.com,5
HECLA MINING CO,5560,212221,1040,HL,Gold,hecla-mining.com,5
HEICO CORP,5567,336412,3724,HEI,Aero,heico.com,2
KRAFT HEINZ CO,5568,31142,2030,KHC,Food,kraftheinzcompany.com,1
HELMERICH & PAYNE,5581,213111,1381,HP,Oil,hpinc.com,2
